District Code,DistrictEng,DistrictNep,VDC/Municipality Code,VDC/Municipality,Ward No,Center Code,Center
65,Banke,बाँके,2775,सोनपुर,1,5119,"इस्लामिक मदरसा मनानुल उलुम, कल्हन्सनगाउ"
65,Banke,बाँके,2775,सोनपुर,3,5122,माध्यमिक विद्यालय बठवा
65,Banke,बाँके,2775,सोनपुर,2,5119,"इस्लामिक मदरसा मनानुल उलुम, कल्हन्सनगाउ"
65,Banke,बाँके,2775,सोनपुर,5,5119,"इस्लामिक मदरसा मनानुल उलुम, कल्हन्सनगाउ"
65,Banke,बाँके,2775,सोनपुर,4,5122,माध्यमिक विद्यालय बठवा
65,Banke,बाँके,2775,सोनपुर,7,5119,"इस्लामिक मदरसा मनानुल उलुम, कल्हन्सनगाउ"
65,Banke,बाँके,2775,सोनपुर,6,5119,"इस्लामिक मदरसा मनानुल उलुम, कल्हन्सनगाउ"
65,Banke,बाँके,2775,सोनपुर,9,5111,गाबिस भवन गोनाना
65,Banke,बाँके,2775,सोनपुर,8,5111,गाबिस भवन गोनाना
65,Banke,बाँके,2713,हिरिमिनिया,1,4890,सरस्वती मा.बि. भंगोटना
65,Banke,बाँके,2713,हिरिमिनिया,3,4893,ने.रा.प्रा.बि. बकौली
65,Banke,बाँके,2713,हिरिमिनिया,2,4890,सरस्वती मा.बि. भंगोटना
65,Banke,बाँके,2713,हिरिमिनिया,5,4893,ने.रा.प्रा.बि. बकौली
65,Banke,बाँके,2713,हिरिमिनिया,4,4887,ने.रा.प्रा.बि. जंगलीसिंहपुर्वा
65,Banke,बाँके,2713,हिरिमिनिया,7,4887,ने.रा.प्रा.बि. जंगलीसिंहपुर्वा
65,Banke,बाँके,2713,हिरिमिनिया,6,4893,ने.रा.प्रा.बि. बकौली
65,Banke,बाँके,2713,हिरिमिनिया,9,4890,सरस्वती मा.बि. भंगोटना
65,Banke,बाँके,2713,हिरिमिनिया,8,4887,ने.रा.प्रा.बि. जंगलीसिंहपुर्वा
65,Banke,बाँके,2736,बनकट्टी,1,4960,ने.रा.प्रा.बि. हलबलडोली
65,Banke,बाँके,2736,बनकट्टी,3,4960,ने.रा.प्रा.बि. हलबलडोली
65,Banke,बाँके,2736,बनकट्टी,2,4960,ने.रा.प्रा.बि. हलबलडोली
65,Banke,बाँके,2736,बनकट्टी,5,4957,मा.बि. बनकट्टी
65,Banke,बाँके,2736,बनकट्टी,4,4957,मा.बि. बनकट्टी
65,Banke,बाँके,2736,बनकट्टी,7,4957,मा.बि. बनकट्टी
65,Banke,बाँके,2736,बनकट्टी,6,4957,मा.बि. बनकट्टी
65,Banke,बाँके,2736,बनकट्टी,9,4957,मा.बि. बनकट्टी
65,Banke,बाँके,2736,बनकट्टी,8,4957,मा.बि. बनकट्टी
65,Banke,बाँके,2716,पिपरहवा,1,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,3,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,2,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,5,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,4,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,7,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,6,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,9,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2716,पिपरहवा,8,4895,हनुमान नि.मा.बि. पिप्रहवा
65,Banke,बाँके,2638,कालाफाटा,1,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,3,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,2,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,5,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,4,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,7,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,6,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,9,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2638,कालाफाटा,8,4787,गाबिस भवन बालापुर
65,Banke,बाँके,2733,बासुदेवपुर,1,4952,ने.रा.नि मा .बि. कण्ठीपुर
65,Banke,बाँके,2733,बासुदेवपुर,3,4952,ने.रा.नि मा .बि. कण्ठीपुर
65,Banke,बाँके,2733,बासुदेवपुर,2,4950,बसुदेबपुर मा.बि. फुटाहा
65,Banke,बाँके,2733,बासुदेवपुर,5,4950,बसुदेबपुर मा.बि. फुटाहा
65,Banke,बाँके,2733,बासुदेवपुर,4,4952,ने.रा.नि मा .बि. कण्ठीपुर
65,Banke,बाँके,2733,बासुदेवपुर,7,4950,बसुदेबपुर मा.बि. फुटाहा
65,Banke,बाँके,2733,बासुदेवपुर,6,4950,बसुदेबपुर मा.बि. फुटाहा
65,Banke,बाँके,2733,बासुदेवपुर,9,4950,बसुदेबपुर मा.बि. फुटाहा
65,Banke,बाँके,2733,बासुदेवपुर,8,4950,बसुदेबपुर मा.बि. फुटाहा
65,Banke,बाँके,2770,उढारापुर,1,5087,भानु मा.बि. उढारापुर
65,Banke,बाँके,2770,उढारापुर,3,5087,भानु मा.बि. उढारापुर
65,Banke,बाँके,2770,उढारापुर,2,5088,गाबिस भवन उढारापुर
65,Banke,बाँके,2770,उढारापुर,5,5087,भानु मा.बि. उढारापुर
65,Banke,बाँके,2770,उढारापुर,4,5087,भानु मा.बि. उढारापुर
65,Banke,बाँके,2770,उढारापुर,7,5088,गाबिस भवन उढारापुर
65,Banke,बाँके,2770,उढारापुर,6,5088,गाबिस भवन उढारापुर
65,Banke,बाँके,2770,उढारापुर,9,5088,गाबिस भवन उढारापुर
65,Banke,बाँके,2770,उढारापुर,8,5088,गाबिस भवन उढारापुर
65,Banke,बाँके,2772,बागेश्वरी,1,5093,धौलागिरी नि.मा.वि. धौलागिरी
65,Banke,बाँके,2772,बागेश्वरी,3,5100,ने.रा.प्रा.बि. क गाउ
65,Banke,बाँके,2772,बागेश्वरी,2,5096,ज्ञानोदय उच्च मा.बि. खजुरा
65,Banke,बाँके,2772,बागेश्वरी,5,5106,ने.रा.नि.मा.वि डि गाउ
65,Banke,बाँके,2772,बागेश्वरी,4,5106,ने.रा.नि.मा.वि डि गाउ
65,Banke,बाँके,2772,बागेश्वरी,7,5108,ने.रा.नि.मा.बि. ई गाउ
65,Banke,बाँके,2772,बागेश्वरी,6,5106,ने.रा.नि.मा.वि डि गाउ
65,Banke,बाँके,2772,बागेश्वरी,9,5108,ने.रा.नि.मा.बि. ई गाउ
65,Banke,बाँके,2772,बागेश्वरी,8,5108,ने.रा.नि.मा.बि. ई गाउ
65,Banke,बाँके,2650,कम्दी,1,4821,सहिद उ.मा.बि. मिलनचोक 
65,Banke,बाँके,2650,कम्दी,3,4819,"ने.रा.नि.मा.बि. साहापुर्वा, कम्दी"
65,Banke,बाँके,2650,कम्दी,2,4819,"ने.रा.नि.मा.बि. साहापुर्वा, कम्दी"
65,Banke,बाँके,2650,कम्दी,5,4819,"ने.रा.नि.मा.बि. साहापुर्वा, कम्दी"
65,Banke,बाँके,2650,कम्दी,4,4821,सहिद उ.मा.बि. मिलनचोक 
65,Banke,बाँके,2650,कम्दी,7,4821,सहिद उ.मा.बि. मिलनचोक 
65,Banke,बाँके,2650,कम्दी,6,4819,"ने.रा.नि.मा.बि. साहापुर्वा, कम्दी"
65,Banke,बाँके,2650,कम्दी,9,4824,डलैपुर मा.बि. डलैपुर
65,Banke,बाँके,2650,कम्दी,8,4821,सहिद उ.मा.बि. मिलनचोक 
65,Banke,बाँके,2739,जैसपुर,1,4962,"इस्लामिक मदरसा, जैसपुर"
65,Banke,बाँके,2739,जैसपुर,3,4962,"इस्लामिक मदरसा, जैसपुर"
65,Banke,बाँके,2739,जैसपुर,2,4962,"इस्लामिक मदरसा, जैसपुर"
65,Banke,बाँके,2739,जैसपुर,5,4962,"इस्लामिक मदरसा, जैसपुर"
65,Banke,बाँके,2739,जैसपुर,4,4962,"इस्लामिक मदरसा, जैसपुर"
65,Banke,बाँके,2739,जैसपुर,7,4964,गाबिस भवन जैसपुर
65,Banke,बाँके,2739,जैसपुर,6,4964,गाबिस भवन जैसपुर
65,Banke,बाँके,2739,जैसपुर,9,4964,गाबिस भवन जैसपुर
65,Banke,बाँके,2739,जैसपुर,8,4964,गाबिस भवन जैसपुर
65,Banke,बाँके,2633,कटकुइया,1,10146,ने.रा.प्रा.वि. महतनिया
65,Banke,बाँके,2633,कटकुइया,3,10147,ने.रा.प्रा.वि. बानियाँगाउँ
65,Banke,बाँके,2633,कटकुइया,2,10147,ने.रा.प्रा.वि. बानियाँगाउँ
65,Banke,बाँके,2633,कटकुइया,5,10146,ने.रा.प्रा.वि. महतनिया
65,Banke,बाँके,2633,कटकुइया,4,10146,ने.रा.प्रा.वि. महतनिया
65,Banke,बाँके,2633,कटकुइया,7,10146,ने.रा.प्रा.वि. महतनिया
65,Banke,बाँके,2633,कटकुइया,6,10147,ने.रा.प्रा.वि. बानियाँगाउँ
65,Banke,बाँके,2633,कटकुइया,9,10147,ने.रा.प्रा.वि. बानियाँगाउँ
65,Banke,बाँके,2633,कटकुइया,8,10147,ने.रा.प्रा.वि. बानियाँगाउँ
65,Banke,बाँके,2777,रनियापुर,1,5131,"ने.रा.नि.मा.बि., घिया"
65,Banke,बाँके,2777,रनियापुर,3,5127,"ने.रा.प्रा.बि., चमकदारपुर"
65,Banke,बाँके,2777,रनियापुर,2,5131,"ने.रा.नि.मा.बि., घिया"
65,Banke,बाँके,2777,रनियापुर,5,5127,"ने.रा.प्रा.बि., चमकदारपुर"
65,Banke,बाँके,2777,रनियापुर,4,5127,"ने.रा.प्रा.बि., चमकदारपुर"
65,Banke,बाँके,2777,रनियापुर,7,5127,"ने.रा.प्रा.बि., चमकदारपुर"
65,Banke,बाँके,2777,रनियापुर,6,5127,"ने.रा.प्रा.बि., चमकदारपुर"
65,Banke,बाँके,2777,रनियापुर,9,5127,"ने.रा.प्रा.बि., चमकदारपुर"
65,Banke,बाँके,2777,रनियापुर,8,5127,"ने.रा.प्रा.बि., चमकदारपुर"
65,Banke,बाँके,2659,रझेना,1,4653,जनता मा.बि. मैटहवा
65,Banke,बाँके,2659,रझेना,3,4651,मदरसा हिमालय गरिब नवाज प्रा.वि. वेडनपुर्वा
65,Banke,बाँके,2659,रझेना,2,4653,जनता मा.बि. मैटहवा
65,Banke,बाँके,2659,रझेना,5,4646,"कृष्ण उ.मा.बि., कौशिलानगर"
65,Banke,बाँके,2659,रझेना,4,4643,लक्ष्मी उ.मा.बि. बर्दहवा
65,Banke,बाँके,2659,रझेना,7,4649,सिद्धार्थ नि.मा.बि. भवन रझेना
65,Banke,बाँके,2659,रझेना,6,4649,सिद्धार्थ नि.मा.बि. भवन रझेना
65,Banke,बाँके,2659,रझेना,9,4651,मदरसा हिमालय गरिब नवाज प्रा.वि. वेडनपुर्वा
65,Banke,बाँके,2659,रझेना,8,4649,सिद्धार्थ नि.मा.बि. भवन रझेना
65,Banke,बाँके,2730,खासकारकांदो,1,4942,पाटेश्वरी प्रा.वि. भुजईगाउँ
65,Banke,बाँके,2730,खासकारकांदो,3,4947,राष्टि्य माध्यमिक विद्यालय लग्दहवा
65,Banke,बाँके,2730,खासकारकांदो,2,4942,पाटेश्वरी प्रा.वि. भुजईगाउँ
65,Banke,बाँके,2730,खासकारकांदो,5,4947,राष्टि्य माध्यमिक विद्यालय लग्दहवा
65,Banke,बाँके,2730,खासकारकांदो,4,4947,राष्टि्य माध्यमिक विद्यालय लग्दहवा
65,Banke,बाँके,2730,खासकारकांदो,7,4947,राष्टि्य माध्यमिक विद्यालय लग्दहवा
65,Banke,बाँके,2730,खासकारकांदो,6,4947,राष्टि्य माध्यमिक विद्यालय लग्दहवा
65,Banke,बाँके,2730,खासकारकांदो,9,4947,राष्टि्य माध्यमिक विद्यालय लग्दहवा
65,Banke,बाँके,2730,खासकारकांदो,8,4947,राष्टि्य माध्यमिक विद्यालय लग्दहवा
65,Banke,बाँके,2755,राधापुर,1,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,3,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,2,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,5,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,4,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,7,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,6,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,9,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2755,राधापुर,8,5073,मैटहवा मा.बि. चन्द्रनगर
65,Banke,बाँके,2784,बनकटवा,1,5143,ने.रा.मा.बि. पेडारी
65,Banke,बाँके,2784,बनकटवा,3,5143,ने.रा.मा.बि. पेडारी
65,Banke,बाँके,2784,बनकटवा,2,5143,ने.रा.मा.बि. पेडारी
65,Banke,बाँके,2784,बनकटवा,5,5149,इश्वरी नि.मा.बि. एच गाउ
65,Banke,बाँके,2784,बनकटवा,4,5146,प्रभात उ.मा.बि. जि गाउ
